Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-07-25,Don't Look Up,2021,https://boxd.it/33rmRV,,,,2022-06-03
2022-07-25,World Famous Lover,2020,https://boxd.it/33rmS5,,,,2022-06-03
2022-07-25,Don,2022,https://boxd.it/33rmSf,,,,2022-06-11
2022-07-25,Vikram,2022,https://boxd.it/33rmSz,,,,2022-06-30
2022-07-25,Yaanai,2022,https://boxd.it/33rmSJ,,,,2022-07-02
2022-07-25,Thor: Love and Thunder,2022,https://boxd.it/33rmST,,,,2022-07-08
2022-07-25,Nenjuku Needhi,2022,https://boxd.it/33rmT3,,,,2022-07-17
2022-07-25,Jurassic World Dominion,2022,https://boxd.it/33rmTd,,,,2022-07-18
2022-07-25,Iravin Nizhal,2022,https://boxd.it/33rmTn,,,,2022-07-22
2022-07-25,The Gray Man,2022,https://boxd.it/33rmTx,,,,2022-07-23
2022-09-10,Time Enna Boss!?,2020,https://boxd.it/3deK7r,,,Amazon Prime video,2022-09-10
2022-09-11,Thiruchitrambalam,2022,https://boxd.it/3dmvsv,,,,2022-09-11
2022-09-15,M*A*S*H,1970,https://boxd.it/3e6jXX,,,,2022-09-15
2022-09-19,Top Gun: Maverick,2022,https://boxd.it/3eXnWF,,,,2022-09-18
2022-10-03,Anbanavan Asaradhavan Adangadhavan,2017,https://boxd.it/3hKPNd,,,,2022-10-02
2022-10-19,Serenity,2005,https://boxd.it/3l95Bn,5,,,2022-10-18
2022-10-27,Black Adam,2022,https://boxd.it/3mOawX,,,"theater, aarthi grand",2022-10-26
2022-10-29,Ponniyin Selvan: Part I,2022,https://boxd.it/3nc6BR,2,,"theater, Aarthi grand",2022-10-28
2022-11-06,Prince,2022,https://boxd.it/3oUZYj,1.5,,,2022-11-06
2022-11-08,Love Today,2022,https://boxd.it/3pnAp7,3.5,,"theater, rajendra",2022-11-08
2022-11-26,Black Panther: Wakanda Forever,2022,https://boxd.it/3tbs43,2,,"theater, uma",2022-11-16
2022-12-10,Nobody,2021,https://boxd.it/3vYk3H,3.5,,torrent,2022-12-09
2022-12-12,The Roundup,2022,https://boxd.it/3wq9I1,3.5,,torrent,2022-12-11
2022-12-27,Anger Management,2003,https://boxd.it/3ArAzN,3.5,Yes,torrent,2022-12-27
2023-01-07,Gatta Kusthi,2022,https://boxd.it/3EUBD1,3,,torrent,2023-01-07
2023-01-17,Agent Kannayiram,2022,https://boxd.it/3Iz9Kx,,,,2023-01-17
2023-02-27,Jaya Jaya Jaya Jaya Hey,2022,https://boxd.it/3UR3Pb,,,torrent,2023-01-25
2023-02-07,Thunivu,2023,https://boxd.it/3P64tL,,,torrent,2023-02-06
2023-02-13,Varisu,2023,https://boxd.it/3QQ8uJ,1,,torrent,2023-02-13
2023-02-19,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/3Slab1,,,"theater, uma",2023-02-18
2023-03-27,John Wick: Chapter 4,2023,https://boxd.it/42hLMZ,,,"uma, theater",2023-03-26
2023-04-04,Pallu Padama Paathuka,2023,https://boxd.it/44z5JN,,,torrent,2023-04-03
2023-04-11,Viduthalai: Part I,2023,https://boxd.it/46Etcr,,,"theater, kumaran",2023-04-07
2023-04-11,Pathu Thala,2023,https://boxd.it/46EtHf,,,"theater, vetrivel",2023-04-09
2023-04-12,Shazam! Fury of the Gods,2023,https://boxd.it/46LfvN,,,torrent,2023-04-10
2023-04-13,Avatar: The Way of Water,2022,https://boxd.it/4730Lx,,,torrent,2023-04-12
2023-05-02,Ponniyin Selvan: Part II,2023,https://boxd.it/4cd0QH,,,"theater, PVR Grand Velachery",2023-04-29
2023-05-18,Tropic Thunder,2008,https://boxd.it/4gdDX9,,,torrent,2023-05-04
2023-05-08,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4dJEq3,,,"theater, uma",2023-05-07
2023-05-19,Naalu Policeum Nalla Irundha Oorum,2015,https://boxd.it/4giXA5,,,torrent,2023-05-18
2023-06-16,Fast X,2023,https://boxd.it/4nLEy1,,,"theater, bsr mall cinepolis",2023-06-07
2023-06-16,Transformers: Rise of the Beasts,2023,https://boxd.it/4nLDOx,,,"theater, bsr mall cinepolis",2023-06-15
2023-06-16,Modern Love Chennai,2023,https://boxd.it/4nLFo7,,,torrent,2023-06-15
2023-06-20,Por Thozhil,2023,https://boxd.it/4oNzAf,,,"theater, madipakkam kumaran",2023-06-18
2023-06-24,Extraction 2,2023,https://boxd.it/4pTRuZ,,,torrent,2023-06-23
2023-07-02,Vettaiyaadu Vilaiyaadu,2006,https://boxd.it/4sn8ix,,,"theater, bsr mall cinepolis",2023-06-30
2023-07-02,Adipurush,2023,https://boxd.it/4sn7Kb,,,torrent,2023-07-01
2023-07-03,Trance,2020,https://boxd.it/4sL34N,,,torrent,2023-07-02
2023-07-03,Maamannan,2023,https://boxd.it/4sL4pn,,,"theater, medavakkam kumaran",2023-07-02
2023-07-03,Veeran,2023,https://boxd.it/4sMuRp,,,torrent,2023-07-03
2023-07-04,Asterix & Obelix: The Middle Kingdom,2023,https://boxd.it/4sRMh5,,,torrent,2023-07-03
2023-07-10,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4uyjNL,,,"theater, bsr mall cinepolis",2023-07-09
2023-07-16,Katharbasha Endra Muthuramalingam,2023,https://boxd.it/4wDHCF,,,torrent,2023-07-16
2023-07-17,Mission: Impossible – Dead Reckoning Part One,2023,https://boxd.it/4x0XjP,,,vetrivel,2023-07-16
2023-07-17,The Flash,2023,https://boxd.it/4x0VrH,,,torrent,2023-07-17
2023-07-23,Oppenheimer,2023,https://boxd.it/4yNLtP,,,"theater, pvr grand velachery",2023-07-22
2023-07-30,A Quiet Place,2018,https://boxd.it/4BGFxp,,,torrent,2023-07-28
2023-07-30,A Quiet Place Part II,2020,https://boxd.it/4BQkXV,,,torrent,2023-07-30
2023-08-03,DD Returns,2023,https://boxd.it/4DvPKp,4.5,,"madipakkam kumaran, theater",2023-07-30
2023-08-05,Good Night,2023,https://boxd.it/4E9JUX,,,torrent,2023-08-04
2023-08-05,Bird Box,2018,https://boxd.it/4E9JxT,,,torrent,2023-08-05
2023-08-12,Maaveeran,2023,https://boxd.it/4Gik7n,,,torrent,2023-08-11
2023-08-15,Jailer,2023,https://boxd.it/4HgcjF,,,"theater, inox luxe phoenix",2023-08-13
2023-08-16,A Man Called Otto,2022,https://boxd.it/4HEHpR,,,torrent,2023-08-15
2023-08-16,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4HEKqt,,,torrent,2023-08-15
2023-08-24,Pathaan,2023,https://boxd.it/4K4ZLB,,,torrent,2023-08-20
2023-09-02,Werewolf by Night,2022,https://boxd.it/4MJ2hx,,,torrent,2023-08-30
2023-09-01,DSP,2022,https://boxd.it/4MwOF7,,,torrent,2023-08-31
2023-09-10,Vendhu Thanindhathu Kaadu,2022,https://boxd.it/4PnZfj,,,torrent,2023-09-07
2023-10-21,Subramaniapuram,2008,https://boxd.it/51VqDL,4,Yes,aarthi grand,2023-09-07
2023-09-13,Sisu,2022,https://boxd.it/4Q0T8z,,,torrent,2023-09-12
2023-09-16,Knives Out,2019,https://boxd.it/4QSBbj,,,torrent,2023-09-15
2023-09-19,Mark Antony,2023,https://boxd.it/4RXrMN,,,"rajendra, theater",2023-09-16
2023-10-22,Summa Irunga Machan,1996,https://boxd.it/51WQl1,,,youtube,2023-10-09
2023-10-16,Adi Thadi,2004,https://boxd.it/50qYf3,,,youtube,2023-10-13
2023-10-16,Jana,2004,https://boxd.it/50qGTJ,,,youtube,2023-10-15
2023-10-16,Youth,2002,https://boxd.it/50qXOr,,,youtube,2023-10-15
